,_id,ref_id,timestamp,business,building,floor,room,sensors_of,ahu,fcu_09,fcu_10
0,62ade3550696d6337535ad66,1000,2022-06-18 15:38:13.858,Sheffield University,Diamond,third,WR/03,BMS,"[20.4, 316.23]","[24.0, 370]","[23.4, 370]"
1,62ade3eda82e88fb6e06e1b1,1000,2022-06-18 15:40:45.791,Sheffield University,Diamond,third,WR/03,BMS,"[15.9, 298.49]","[28.8, 370]","[25.1, 370]"
2,62ade408a82e88fb6e06e1b3,1000,2022-06-18 15:41:12.535,Sheffield University,Diamond,third,WR/03,BMS,"[23.7, 302.44]","[12.9, 370]","[15.3, 370]"
3,62ade534a82e88fb6e06e1b4,1000,2022-06-18 15:46:12.898,Sheffield University,Diamond,third,WR/03,BMS,"[25.6, 314.37]","[24.2, 370]","[16.5, 370]"
4,62ade660a82e88fb6e06e1b5,1000,2022-06-18 15:51:12.935,Sheffield University,Diamond,third,WR/03,BMS,"[26.1, 307.07]","[27.4, 370]","[18.2, 370]"
5,62ade78ca82e88fb6e06e1b6,1000,2022-06-18 15:56:12.978,Sheffield University,Diamond,third,WR/03,BMS,"[19.4, 312.17]","[23.1, 370]","[17.6, 370]"
6,62ade8b9a82e88fb6e06e1b7,1000,2022-06-18 16:01:13.016,Sheffield University,Diamond,third,WR/03,BMS,"[17.5, 311.79]","[13.8, 370]","[25.7, 370]"
7,62ade9e5a82e88fb6e06e1b8,1000,2022-06-18 16:06:13.068,Sheffield University,Diamond,third,WR/03,BMS,"[15.8, 303.5]","[14.0, 370]","[13.0, 370]"
8,62adeb11a82e88fb6e06e1b9,1000,2022-06-18 16:11:13.100,Sheffield University,Diamond,third,WR/03,BMS,"[25.8, 308.21]","[23.3, 370]","[13.2, 370]"
9,62adec3da82e88fb6e06e1ba,1000,2022-06-18 16:16:13.143,Sheffield University,Diamond,third,WR/03,BMS,"[18.7, 311.21]","[17.8, 370]","[26.5, 370]"
10,62aded69a82e88fb6e06e1bb,1000,2022-06-18 16:21:13.176,Sheffield University,Diamond,third,WR/03,BMS,"[26.5, 307.44]","[13.7, 370]","[13.3, 370]"
11,62adee95a82e88fb6e06e1bc,1000,2022-06-18 16:26:13.216,Sheffield University,Diamond,third,WR/03,BMS,"[12.5, 308.71]","[15.8, 370]","[18.5, 370]"
12,62adefc1a82e88fb6e06e1bd,1000,2022-06-18 16:31:13.250,Sheffield University,Diamond,third,WR/03,BMS,"[26.6, 316.3]","[26.6, 370]","[16.0, 370]"
13,62adf0eda82e88fb6e06e1be,1000,2022-06-18 16:36:13.286,Sheffield University,Diamond,third,WR/03,BMS,"[26.0, 314.78]","[19.3, 370]","[17.8, 370]"
14,62adf219a82e88fb6e06e1bf,1000,2022-06-18 16:41:13.326,Sheffield University,Diamond,third,WR/03,BMS,"[14.0, 319.41]","[15.1, 370]","[23.3, 370]"
15,62adf345a82e88fb6e06e1c0,1000,2022-06-18 16:46:13.377,Sheffield University,Diamond,third,WR/03,BMS,"[25.7, 324.06]","[29.9, 370]","[13.5, 370]"
